membership_id,first_name,last_name,email,mobile_no,date_of_birth,above_18,filename,badRecord,comments
"",Tony,Shepherd,Tony_Shepherd@petersen.com,711447,20160703,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <07/03/2016> formatted as <2016-07-03> | email validation Success
"",Ashlee,Austin,Ashlee_Austin@melendez.com,6454197,19921209,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <12/09/1992> formatted as <1992-12-09> | email validation Success
"",Marc,Meyer,Marc_Meyer@chavez.com,9727376,19960517,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1996/05/17> formatted as <1996-05-17> | email validation Success
"",Jennifer,Vega,Jennifer_Vega@jenkins.net,6655 1251,19710307,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation Success | date value <03/07/1971> formatted as <1971-03-07> | email validation Failed
"",Denise,Glass,Denise_Glass@calderon.org,77863943,19820531,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation Success | date value <1982-05-31> formatted as <1982-05-31> | email validation Failed
"",Emily,Christian,Emily_Christian@hardy-ball.biz,83586,19931127,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1993/11/27> formatted as <1993-11-27> | email validation Success
"",Shane,Davis,Shane_Davis@smith.net,42361783,20060625,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation Success | date value <2006/06/25> formatted as <2006-06-25> | email validation Failed
"",Zachary,Payne,Zachary_Payne@espinoza.info,7802719,20180217,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <17-02-2018> formatted as <2018-02-17> | email validation Failed
"",Jeffery,Leon,Jeffery_Leon@clark.com,9076271,20040324,false,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <2004-03-24> formatted as <2004-03-24> | email validation Success
"",Jennifer,Martin,Jennifer_Martin@anderson-ford.com,1878563,19990112,true,file:///Users/santhoshjanakiraman/airflow/dags/datafiles/raw/20230312_15/applications_dataset_2.csv,true,mobile_no validation failed | date value <1999-01-12> formatted as <1999-01-12> | email validation Success
